Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,  Sales,Tax,advertisement,Fuel
2-27-2020,PPC-Bag,264.7512,400,40,27,124962.57,19062.0864,6010.902,13788.0576
2-27-2020,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
2-28-2020,PPC-Bag,264.7512,200,20,27,62481.28,9531.0432,3018.68856,6894.0288
2-28-2020,OPC-Bag,352.5579,400,40,75,166407.33,25384.1688,8082.55275,19922.7792
2-28-2020,OPC-Bag,352.5579,800,80,95,332814.66,50768.3376,16209.84971,41445.5584
2-28-2020,OPC-Bag,352.5579,400,40,95,166407.33,25384.1688,8122.55275,20722.7792
2-28-2020,OPC-Bag,352.5579,800,80,80,332814.66,50768.3376,16149.84971,40245.5584
2-28-2020,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
03-01-2020,PPC-Bag,264.7512,400,40,30,124962.57,19062.0864,6016.902,13908.0576
03-01-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
03-05-2020,PPC-Bag,264.7512,400,40,30,124962.57,19062.0864,6016.902,13908.0576
03-08-2020,PPC-Bag,264.7512,200,20,30,62481.28,9531.0432,3021.68856,6954.0288
03-08-2020,PPC-Bag,264.7512,800,80,35,249925.13,38124.1728,12027.32888,28216.1152
03-08-2020,OPC-Bulk,339.2622,400,40,30,160131.76,24426.8784,7693.3995,17484.5856
03-09-2020,OPC-Bag,363.2067,2000,200,27,857167.81,130754.412,40985.47107,92569.608
03-09-2020,OPC-Bag,352.5579,800,80,28,332814.66,50768.3376,15941.84971,36085.5584
03-09-2020,OPC-Bag,352.5579,400,40,30,166407.33,25384.1688,7992.55275,18122.7792
03-09-2020,PPC-Bag,264.7512,400,40,27,124962.57,19062.0864,6010.902,13788.0576
03-10-2020,OPC-Bag,352.5579,200,20,27,83203.66,12692.0844,4010.90427,9001.3896
03-10-2020,PPC-Bag,264.7512,400,40,27,124962.57,19062.0864,6010.902,13788.0576
03-12-2020,OPC-Bulk,339.2622,400,40,30,160131.76,24426.8784,7693.3995,17484.5856
03-12-2020,PPC-Bag,264.7512,200,20,35,62481.28,9531.0432,3026.68856,7054.0288
03-12-2020,PPC-Bag,264.7512,200,20,35,62481.28,9531.0432,3026.68856,7054.0288
03-12-2020,PPC-Bag,264.7512,800,80,35,249925.13,38124.1728,12027.32888,28216.1152
3-13-2020,PPC-Bag,264.7512,400,40,28,124962.57,19062.0864,6012.902,13828.0576
3-13-2020,OPC-Bulk,339.2622,400,40,30,160131.76,24426.8784,7693.3995,17484.5856
3-13-2020,PPC-Bag,264.7512,6000,600,73,1874438.5,285931.296,91172.87832,234420.864
3-13-2020,PPC-Bag,264.7512,4000,400,63,1249625.66,190620.864,60590.74392,152280.576
3-14-2020,PPC-Bag,264.7512,400,40,28,124962.57,19062.0864,6012.902,13828.0576
3-14-2020,PPC-Bag,264.7512,400,40,28,124962.57,19062.0864,6012.902,13828.0576
3-14-2020,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
3-14-2020,PPC-Bag,264.7512,2000,200,25,624812.83,95310.432,29928.60952,68540.288
3-15-2020,PPC-Bag,264.7512,800,80,28,249925.13,38124.1728,11999.32888,27656.1152
3-15-2020,PPC-Bag,264.7512,400,40,28,124962.57,19062.0864,6012.902,13828.0576
3-16-2020,OPC-Bag,352.5579,400,40,40,166407.33,25384.1688,8012.55275,18522.7792
3-16-2020,PPC-Bag,264.7512,400,40,28,124962.57,19062.0864,6012.902,13828.0576
